"Забайкальский государственный университет"
"id","Дата","Текст"
"1","21 МАР 2024","Более 70 ученых со всей страны станут участниками археолого-этнографической..."
"2","21 МАР 2024","Как работает международный коллектив крупнейшего внешнеторгового предприятия?"
"3","20 МАР 2024","ЗабГУ объявляет выборы декана факультета строительства и экологии"
"4","20 МАР 2024","Долгожданная Молодежная научная весна-2024 скоро придет в ЗабГУ!"
"5","20 МАР 2024","На Дальнем Востоке подготовят специалистов по проектированию городской среды"
"6","20 МАР 2024","Забайкальский государственный университет поддержит кадрами отрасль ОПК"
"7","19 МАР 2024","10 лет вместе: Общество «Знание» в Забайкальском крае подготовило цикл мероприятий..."
"8","18 МАР 2024","В ЗабГУ отгремел масштабный региональный фестиваль «Действуй!»"
"9","18 МАР 2024","Студенты Горного факультета ЗабГУ знают, как улучшить отрасль горнодобывающей..."
"10","15 МАР 2024","Фестиваль ""Действуй"" продолжается!"
"11","15 МАР 2024","""ДФО для СВО""! Под таким девизом объединились 1,5 тысячи добровольцев,..."
"12","15 МАР 2024","Забайкалье, «Действуй!»"
"13","14 МАР 2024","В ЗабГУ завершился первый день Карьерного марафона «От старта к вершине»."
"14","14 МАР 2024","Роботические соревнования для школьников"
"15","12 МАР 2024","Губернатор Забайкалья Александр Осипов провел встречу со студентами ЗабГУ."
"16","12 МАР 2024","Участвуйте в онлайн-диктанте «Педагог – профессия будущего»"
"17","11 МАР 2024","Диалог о науке, искусстве, спорте, образовании, бизнесе, волонтерстве состоялся!"
"18","11 МАР 2024","Студенты ЗабГУ встретились с телеведущей Юлией Барановской, Героем России,..."
"19","7 МАР 2024","В преддверии Международного женского дня в ЗабГУ прошла лекция от Общества «Знание»..."
"20","7 МАР 2024","Как и из чего создают свои яркие образы камерунские женщины? Какие подарки им дарят..."
"21","7 МАР 2024","Разработки ЗабГУ могут стать подспорьем для развития одного из крупнейших в России..."
"22","6 МАР 2024","Гордость университета! Магистранты направления «Языковое образование» ИФФ ЗабГУ..."
"23","6 МАР 2024","Разработки коллектива Научно-исследовательского института филологии и межкультурной..."
"24","5 МАР 2024","Новость дня: учёные ЗабГУ выиграли гранты Российского научного фонда"
"25","4 МАР 2024","Преподаватели историко-филологического факультета приняли участие в организации и..."
"26","1 МАР 2024","Будущие инженеры горной отрасли учатся принципам ESG и экологическим стандартам"
"27","1 МАР 2024","В ЗабГУ пройдет процедура независимой оценки качества (НОК)."
"28","1 МАР 2024","Главные тезисы об образовании, науке, семье и развитии молодежной политики из..."
"29","1 МАР 2024","Научный лабораториум провели аспиранты ЗабГУ"
"30","29 ФЕВ 2024","С адаптивными играми, которые проводит региональный центр инклюзивного образования..."
"31","29 ФЕВ 2024","Кафедра Административного права и Таможенного дела с 1 марта 2024 года начинает..."
"32","29 ФЕВ 2024","Студенты ЗабГУ представили дизайн-проекты школ №6 и №40 Читы на выставке-форуме..."
"33","28 ФЕВ 2024","Актуальные проблемы развития КНР обсудят на традиционной востоковедной конференции..."
"34","27 ФЕВ 2024","Строительные компании Забайкалья готовы оплачивать высшее образование будущих..."
"35","26 ФЕВ 2024","Проблемы сохранения и популяризации самобытной культуры эвенков рассмотрели на..."
"36","26 ФЕВ 2024","Студент ЭФ ЗабГУ Ярослав Смирнов стал участником Зимней школы бакалавров в..."
"37","23 ФЕВ 2024","Преподаватели историко-филологического факультета во главе с деканом приняли..."
"38","23 ФЕВ 2024","И. о. ректора ЗабГУ Оксана Мартыненко поздравила с праздником."
"39","23 ФЕВ 2024","Праздник воинской славы России! Сегодня отмечается День защитника Отечества — один..."
"40","22 ФЕВ 2024","Ты тоже можешь помочь нашим бойцам"
"41","22 ФЕВ 2024","Школа молодого избирателя"
"42","21 ФЕВ 2024","Сегодня в учебном корпусе энергетического факультета ЗабГУ прошли учения пожарно..."
"43","21 ФЕВ 2024","Долг. Честь. Отвага. Мужество. О том, какими качествами должен обладать Защитник..."
"44","20 ФЕВ 2024","Вспомним героев с ЗабГУ"
"45","20 ФЕВ 2024","Забайкальский государственный университет готовится к празднованию Дня Защитника..."
"46","20 ФЕВ 2024","Внимание, изменения в программе научных мероприятий!"
"47","19 ФЕВ 2024","Новости факультета строительства и экологии ЗабГУ"
"48","19 ФЕВ 2024","В новом учебном году Забайкальский государственный университет запустит сразу две..."
"49","19 ФЕВ 2024","История города в зданиях"
"50","19 ФЕВ 2024","Волонтерский отряд ЗабГУ занимается сплочением семей"
"51","16 ФЕВ 2024","Международные договоренности"
"52","16 ФЕВ 2024","День памяти воинов-интернационалистов и 35 годовщина со дня вывода советских войск..."
"53","16 ФЕВ 2024","На благо энергетики и горного дела страны! В ЗабГУ подводят итоги работы сетевой..."
"54","16 ФЕВ 2024","Студент ЗабГУ попал в топ-10 сильнейших армрестлеров страны среди лиц с инвалидностью"
"55","15 ФЕВ 2024","Представители ЗабГУ и Шаньдунского института бизнеса и технологий обсудили..."
"56","15 ФЕВ 2024","Специалисты Центра компетенций ЗабГУ приводят в баланс рынок труда"
"57","15 ФЕВ 2024","Сборник лучших практик «От медицинской помощи к социальной адаптации: инклюзивные..."
"58","14 ФЕВ 2024","В ЗабГУ завершилась череда лекций по естественным наукам"
"59","14 ФЕВ 2024","Фильм о первооткрывателях Быстринского ГОКа стал победителем сразу в трёх..."
"60","14 ФЕВ 2024","Нужное кино. Забайкальский госуниверситет совместно с обществом ""Знание""..."
"61","13 ФЕВ 2024","Дружба университетов!"
"62","13 ФЕВ 2024","""Добрый свет Сагаалгана"". Персональная выставка Зорикто Ешиева"
"63","13 ФЕВ 2024","Новые подходы к проведению курсов повышения квалификации"
"64","9 ФЕВ 2024","В ЗабГУ прошло торжественное открытие «Добро.Центра»."
"65","9 ФЕВ 2024","Женская сборная ЗабГУ по регби вновь взяла бронзу на III Всероссийском зимнем..."
"66","9 ФЕВ 2024","Открылась обновленная экспозиция «Десятилетие науки и технологий» на Международной..."
"67","8 ФЕВ 2024","Глава Минобрнауки Валерий Фальков поздравил ученых с Днем российской науки"
"68","8 ФЕВ 2024","Лекции, экскурсии, творческие мастерские, выставки, мастер-классы!"
"69","8 ФЕВ 2024","О передовых научных разработках учёные ЗабГУ рассказали школьникам"
"70","7 ФЕВ 2024","Работы художников четырёх стран в одной экспозиции. ЗабГУ открыл международную..."
"71","7 ФЕВ 2024","ТерриТОРия будущего: Творчество, Обучение, Развитие."
"72","7 ФЕВ 2024","Забайкальский государственный университет готовится ко Дню Российской науки,..."
"73","7 ФЕВ 2024","МФТИ организует научную школу «Геофизика природных катастроф» для студентов и..."
"74","6 ФЕВ 2024","Выпускной может быть и в феврале!"
"75","6 ФЕВ 2024","Творчество, профессия, индустрия. О современной журналистике идёт речь на..."
"76","6 ФЕВ 2024","Женщина науки"
"77","6 ФЕВ 2024","XXIX Межрегионального конкурса на лучший поэтический перевод среди студентов ссузов..."
"78","5 ФЕВ 2024","В ЗабГУ прошла панельная дискуссия по вопросам развития международного образования."
"79","5 ФЕВ 2024","Говорение, лексика, чтение, страноведение. Уже полгода студенты из Камеруна изучают..."
"80","5 ФЕВ 2024","На кафедре журналистики и СО ЗабГУ подвели итоги краевого конкурса «Забайкалье -..."
"81","2 ФЕВ 2024","В рамках проекта «Будущее с ЗабГУ» в университете провели экскурсию для учащихся..."
"82","2 ФЕВ 2024","В ЗабГУ появилась еще одна площадка для развития технически талантливой молодежи"
"83","2 ФЕВ 2024","День российской науки в ЗабГУ"
"84","2 ФЕВ 2024","День воинской славы России!"
"85","1 ФЕВ 2024","Учимся быть лидерами"
"86","1 ФЕВ 2024","Выборы президента России 2024: что важно знать?"
"87","31 ЯНВ 2024","Внимание, концентрация науки в этом посте – 100%! Собрали дайджест #Молодыеученые..."
"88","30 ЯНВ 2024","Стажеры факультета культуры и искусств ЗабГУ из Китая представят свои работы на..."
"89","30 ЯНВ 2024","Студент ЗабГУ завоевал несколько медалей на международных соревнованиях"
"90","30 ЯНВ 2024","Расскажем о своих героях вместе с ЗабГУ"
"91","30 ЯНВ 2024","В главном корпусе ЗабГУ появился интерактивный баннер Быстры"
"92","29 ЯНВ 2024","Самый крупный университет региона"
"93","29 ЯНВ 2024","Сегодня распахнул двери первый в России Ресурсный центр адаптивных спортивных игр"
"94","29 ЯНВ 2024","8 февраля страна отметит важную дату — День российской науки, и мы спешим..."
"95","27 ЯНВ 2024","872 дня борьбы и надежды: о подвиге ленинградцев-блокадников рассказали студентам и..."
"96","26 ЯНВ 2024","Оценили лаборатории Горной академии и аудитории строительного факультета. В ЗабГУ в..."
"97","26 ЯНВ 2024","ПАО «ТГК-14» стало партнером проекта Забайкальской малой академии наук «Школа..."
"98","26 ЯНВ 2024","Новые возможности для сообщества ЗабГУ"
"99","26 ЯНВ 2024","Преподаватели и студенты психолого-педагогического факультета ЗабГУ приняли участие..."
"100","26 ЯНВ 2024","Школьники из Бурятии приехали, чтобы узнать больше о технических специальностях ЗабГУ"
